Y,X1,X2,X3,X4,X5,X6,X7,X8
Won,55,9,0,44.11274581,42.39759775,33.93065526,51.38070666,46.42121887
Not Won,48,3,0,40.3627728,30.65321728,47.52734213,79.4444363,54.31556097
Not Won,46,0,0,44.11679409,47.29783589,61.28873843,54.69269914,54.92353801
Not Won,73,1,0,13.46199341,14.58149488,14.03478887,65.97676135,17.06089661
Won,59,0,1,55.3112942,54.06532164,38.68642702,7.673070563,40.94019147
Not Won,73,1,0,29.4183118,30.59285489,31.8770615,16.15533143,19.5066316
Won,71,8,0,25.92436854,24.53245212,13.59520716,46.60575646,25.79947205
Won,65,8,1,50.47615929,41.84691972,35.67269395,7.798924134,29.80415627
Won,57,9,0,39.23815334,40.67752997,32.73836606,53.68310749,39.08660581
Not Won,35,8,0,64.20613363,62.02669738,55.53888857,58.0082595,76.82102838
Not Won,72,3,0,32.32753375,35.08240483,47.37329491,5.109132869,14.08905086
Not Won,27,4,0,38.47088965,86.90089977,91.97046492,63.49148894,71.38166913
Not Won,68,2,0,11.88248711,35.88466661,21.86831011,55.51022067,28.71053935
Not Won,32,0,0,58.79724369,72.93697305,69.90793519,53.98585702,75.15521377
Won,49,0,1,42.0697841,61.78178863,36.31609458,51.11967907,53.86759319
Not Won,20,3,0,77.54739691,83.06138305,80.24048374,58.26627508,89.702901
Won,52,10,0,40.10156556,33.6869576,40.99575038,69.01375804,49.27681543
Not Won,35,6,0,60.54237974,65.98874596,60.15378508,55.75789513,74.61051645
Not Won,44,3,1,45.64018568,49.28068257,65.83634367,53.06425291,54.3062657
Not Won,41,1,0,56.27028144,66.34229621,34.25272288,57.478021,72.68959415
Won,64,9,1,34.18020261,31.9717853,36.36177776,43.1630608,27.35837426
Not Won,25,7,0,86.75687022,78.56358281,61.97328351,46.79255729,89.68119935
Won,62,8,1,44.09000177,32.11039522,51.01647548,24.79930771,29.23995376
Not Won,34,4,1,46.97867953,53.91424032,47.49493701,96.14238676,73.4829773
Not Won,36,6,0,62.21251153,54.77241481,68.98991236,53.92040828,71.93276879
Not Won,52,4,0,58.16457647,69.5424847,12.64571292,30.79529503,61.47326798
Won,57,0,1,63.88944115,45.12003284,37.30184437,13.64866833,47.76123823
Won,66,7,1,39.49960265,32.12299425,36.79324172,29.09544354,26.69421273
Not Won,34,6,0,50.25988886,52.50088399,57.24639732,87.94401309,73.39669496
Not Won,1,5,0,98.23128907,92.63278058,92.66630335,97.66567576,99
Won,31,4,1,72.09134229,65.91900637,62.50375875,52.97595523,78.5232915
Not Won,46,3,1,44.10446844,48.89295588,39.47604724,64.91016309,65.02689325
Not Won,76,1,0,9.064262422,20.85694791,8.739635028,60.95783177,15.04468487
Won,51,9,0,46.18702407,45.92924979,42.64041234,50.40735888,52.99742976
Won,73,7,0,27.68053516,23.86227016,29.80153621,27.11760397,20.00892018
Not Won,46,3,0,50.78780338,45.99493502,16.05323439,79.83645718,70.1452187
Not Won,75,1,0,24.04303657,23.5914639,11.03390995,41.99132758,15.32015225
Not Won,42,1,0,31.58517176,62.23081398,60.68208768,60.85249149,64.99500612
Not Won,41,3,0,59.99627722,65.89720154,40.91236969,49.86387443,70.2122986
Not Won,48,4,1,64.38198964,12.42694108,57.73664479,59.28343614,58.38237656
Not Won,68,2,0,8.965922458,9.046573571,63.54213222,53.89158003,14.72011585
Not Won,70,2,0,7.096283351,14.30643031,73.79539058,29.97812994,18.0547958
Not Won,37,3,0,57.14035664,49.44958267,64.20439686,57.60856798,74.66272785
Not Won,68,2,0,14.74009681,14.57163653,44.95620254,59.7747184,16.48938171
Won,48,0,1,54.94413835,48.71603867,52.75089396,33.95298115,59.59027383
Not Won,46,1,0,48.77742741,36.01850216,69.82427249,48.27451877,59.45656918
Not Won,27,7,0,66.46859418,75.06813747,64.96472831,64.22950334,84.04892158
Not Won,57,3,1,35.62535771,19.24807501,35.32301696,75.52831911,39.52693934
Not Won,45,2,0,57.03642768,68.10861095,56.79319123,27.27610293,57.9683588
Not Won,41,1,0,47.11564438,69.36345812,51.0308224,54.75208861,62.57488298
Not Won,35,8,0,45.07622635,56.69604475,61.35037484,79.24912442,71.36172432
Won,53,9,1,37.52924874,33.02846909,51.97109135,57.35259727,47.12116905
Not Won,12,7,0,74.41719822,85.67604995,88.99183058,82.93952739,95.71856941
Not Won,15,3,0,91.68588115,80.12907215,67.22305801,78.53467668,97.87149116
Won,60,8,1,44.65182795,37.42597085,40.42624075,31.8290813,37.37249108
Won,61,10,1,40.93844204,44.2685144,50.15145722,20.31789045,33.07719774
Won,46,10,0,46.92028598,45.51888544,53.53234392,59.91636942,54.28092774
Not Won,56,1,0,23.50207367,29.18535095,23.72164926,90.15280844,42.67136577
Not Won,85,1,0,0.128433804,10.32667901,3.080840854,48.02014034,9.158148334
Not Won,42,2,0,40.19070601,42.50441792,45.76656874,85.64296277,68.19699871
Not Won,80,2,1,19.83342348,20.75965657,33.79340759,11.98431532,5.082119254
Won,49,8,1,47.8149529,44.18522834,44.64284771,49.05862865,60.32355769
Won,56,8,1,38.69211388,37.09896372,23.4872232,65.40093996,45.40566045
Not Won,38,2,0,54.20028085,36.84798366,54.91945011,84.95712966,69.84470554
Not Won,42,3,0,31.82147936,55.78765121,63.59703101,72.29319733,57.25720081
Not Won,70,3,0,12.44016922,14.30592324,16.81923163,74.19681134,24.93622628
Not Won,7,8,0,89.45965656,87.28234893,88.17312724,89.54857193,99
Not Won,34,3,0,51.76989846,55.61415323,55.56252639,82.97114446,75.71541163
Not Won,21,2,0,35.74683714,87.16076669,85.58542678,85.52127521,90.06823601
Won,50,8,1,46.54661804,48.4796222,42.9472611,51.98441952,52.23918471
Won,60,9,1,44.7036097,42.38626884,38.29473,28.51996008,36.04931868
Won,64,1,1,8.151884143,20.86853072,54.24585128,70.36683957,18.27672959
Not Won,35,3,0,62.64208947,32.53504123,66.62552887,75.19438529,79.47508699
Not Won,86,1,1,14.0544469,13.23275859,7.64196091,20.13365668,6.778292892
Not Won,47,2,1,40.12664655,33.68153319,67.90278465,60.36844684,52.66071823
Won,50,0,1,59.89261869,54.91083322,52.67980616,16.82594726,54.8746269
Not Won,75,1,0,7.281160638,8.846381477,13.11022119,71.69565631,18.69529359
Not Won,39,0,0,42.39675384,49.88157874,48.55843972,89.99019784,63.01066583
Not Won,34,5,0,59.90814182,65.98695909,66.9914923,50.52448408,74.40856613
Won,57,7,1,46.04846395,48.32981945,44.22915162,26.15323582,40.57600466
Won,63,8,1,38.85277273,46.96347383,35.54086239,23.11982191,30.98514802
Not Won,76,2,1,19.94063389,15.25557656,11.17001182,48.29914055,18.10242412
Not Won,20,3,0,53.17402589,88.5011376,71.8198108,83.18461214,92.79582262
Won,55,7,1,35.18609501,48.47254339,21.88691482,61.25872516,51.0763882
Not Won,40,2,1,52.95191048,38.4476034,27.18787384,98.75860131,74.98384776
Not Won,27,5,0,64.03118276,69.99163902,43.80456715,87.51660993,88.70990637
Won,54,7,1,48.21499596,37.62164295,54.46591775,36.95097738,42.92859688
Not Won,42,2,1,27.80304857,44.21131438,64.9557558,93.07875816,50.47937831
Won,45,8,0,52.00969184,48.0145893,53.95052713,53.22656334,57.61516832
Not Won,24,1,0,76.0624203,78.69096949,73.16510045,50.16368874,88.96814948
Not Won,34,3,1,52.25081043,47.15456947,50.1604484,85.27167384,84.20148836
Won,69,8,1,50.47641996,26.34817662,31.25585742,12.70526248,24.41342954
Won,54,8,0,41.93085368,46.66918323,33.28343401,53.97644577,44.24293625
Won,63,9,1,34.82111922,26.41623241,29.04859953,55.99584612,32.2638911
Won,69,7,1,30.95258221,22.80070587,27.24045362,44.04187586,20.7003054
Not Won,74,3,0,26.57547523,18.43344093,52.08263075,15.59063328,10.57606738
Won,48,9,0,47.243546,45.41311598,38.64755837,61.74470269,57.08831913
Not Won,91,2,1,13.25158011,8.575354124,12.73716945,0.982963773,1.373147022
Won,42,0,1,56.74640316,46.81529294,44.21695768,62.37813875,68.0708297
Won,70,8,0,28.55718473,28.18942726,32.92631955,27.53695843,24.30561175
Won,48,9,0,45.3131782,41.91699885,47.54921024,60.7332737,53.74503771
Not Won,9,2,0,85.81720355,81.7158301,88.54098183,87.42976632,97.10903181
Won,71,10,1,34.06510604,22.30653332,35.02891056,24.69421353,20.30242892
Not Won,21,3,0,58.09869262,67.9732099,72.56311195,89.60570606,93.59641763
Not Won,40,5,0,50.47482572,75.58444775,41.14267702,52.13461849,68.50602911
Won,57,8,1,51.59273898,24.12541258,44.44772064,45.91232765,39.93944442
Won,66,10,1,34.69636195,35.22022875,35.03594414,29.87061375,27.55482928
Won,55,7,0,45.32440606,39.55782533,41.37096551,40.03527324,49.04861665
Won,62,9,1,42.66275358,47.00774979,39.16491252,12.16972273,38.3663577
Won,59,8,1,42.663013,31.60651815,36.98765164,48.40135844,39.0825234
Not Won,83,2,0,4.867929684,9.698830159,11.28339409,42.11840091,8.304497246
Won,63,9,1,38.96153152,37.51151259,35.13184817,34.90373606,31.11105212
Won,70,10,0,33.4648723,32.44370062,32.02041966,24.84488733,20.84232225
Not Won,33,1,0,57.22540062,56.29166839,47.91705691,75.43226899,86.866669
Not Won,36,8,0,62.99364062,69.91532561,50.6589292,51.6054126,73.43809897
Not Won,41,2,1,46.06780363,41.84673697,70.59180189,64.76022755,59.64777887
Won,51,8,0,45.84782961,42.90402324,43.51663201,53.91611053,48.84384868
Won,47,8,0,41.92732092,47.10827203,43.72111001,63.98930337,60.20032661
Won,66,9,1,38.90125772,31.97360879,32.1481454,31.5687938,26.09518272
Not Won,12,6,0,94.60559715,67.80226576,77.82970802,90.40453174,98.84629628
Not Won,25,8,0,72.89362312,72.10917089,40.4503659,85.18714636,91.12813063
Won,74,2,1,36.05900907,27.47795991,38.89172278,2.237161493,16.0356502
Not Won,41,8,0,64.84933294,76.19493188,66.61580299,16.76650487,60.05135908
Won,63,8,0,34.73898598,34.42890856,34.19519356,46.54356188,28.48111746
Not Won,68,3,1,7.567181541,14.75381005,18.90982576,86.3381788,26.00535404
Not Won,41,4,0,44.73945028,43.32122362,67.38190547,70.5913481,59.97546492
Not Won,42,2,1,43.73162712,49.60135847,43.85955659,74.00765403,67.91047761
Won,59,9,0,37.71229714,38.3344911,27.98875077,50.34220537,44.40918319
Not Won,75,3,0,8.451109193,6.261719714,5.740957355,80.0076401,17.39735019
Not Won,56,4,0,57.05944793,59.98286541,46.50039406,1.506755991,45.07530125
Won,58,7,1,35.71998742,37.10661722,54.25879245,42.0082383,32.5244803
Not Won,38,3,1,46.81392915,47.25435651,50.27879515,81.91025124,72.49086705
Won,72,2,1,17.61546213,27.99826207,39.57003453,34.1621985,14.22878373
Not Won,38,1,0,48.45841379,47.14323132,92.84813068,51.9112457,58.74818556
Won,47,9,0,45.71548486,53.27977464,50.43633433,53.30564689,53.94548107
Not Won,88,2,0,11.72843855,9.571830152,15.74861693,13.26061053,2.647732737
Not Won,50,2,0,36.7567026,18.69724821,65.82668883,73.14155183,47.12498589
Not Won,42,2,1,42.73205739,51.23835689,33.18370659,87.14081774,66.58089354
Not Won,36,4,0,45.63679135,56.66373729,69.26900237,68.3878488,70.7860279
Won,72,1,1,25.65758673,18.57781636,24.02574218,45.33857332,17.41876123
Not Won,54,0,1,26.64281263,34.75467102,29.7011018,85.46448724,44.22183511
Won,47,0,1,47.50151462,56.55943014,37.16075884,53.85558598,58.6603556
Not Won,41,5,0,72.02352436,54.0424954,59.64850728,30.23562765,67.91088627
Not Won,80,2,0,32.41784928,21.95456418,18.69887957,5.49737791,13.62925002
Won,44,0,1,55.21875172,47.5450134,63.15100811,42.23551045,60.10175464
Not Won,42,6,0,51.02238508,58.68944,53.5280739,53.87633394,61.92848482
Won,51,8,0,50.0025783,26.62427121,54.2900702,53.24946092,49.58054319
Not Won,74,1,1,35.71848783,36.53110945,22.50924535,10.1033964,20.12132881
Not Won,33,7,0,63.09682312,72.52420369,62.45754033,51.78992589,72.53225078
Not Won,22,4,0,98.98408374,79.5624839,54.48855314,52.1588629,94.21186365
Won,70,7,1,34.8057168,31.34612927,35.99334233,18.90525996,20.44289376
Won,48,8,0,48.22241022,45.2390758,34.62108888,60.08265587,60.77187249
Won,60,9,1,39.00906973,37.50298715,41.24514526,41.29136116,33.41309764
Won,48,8,0,46.62605529,46.03129068,47.85395079,47.38175779,60.82707441
Won,48,0,1,56.47180257,51.94330257,44.27115963,40.75850057,57.552311
Won,53,9,1,37.74722247,42.4175537,47.46612062,57.89535435,42.13552258
Not Won,59,0,0,26.83767925,24.41921925,40.49693231,70.97335162,36.09654412
Won,69,9,1,43.5274473,43.40707793,24.10701406,15.31640115,21.64615065
Won,49,0,1,59.36715961,45.69734628,55.60377648,27.87201409,58.43880017
Won,51,0,1,43.97676589,57.82307533,48.9911408,33.95249267,48.76990498
Not Won,65,2,0,43.18234121,45.44044541,41.00807926,3.027286653,32.87426919
Won,47,10,0,53.5933824,41.07064079,55.27841287,51.55280436,54.04161314
Not Won,49,1,0,56.70160231,66.707011,47.10067911,14.02735549,62.07500264
Won,62,9,1,26.04846228,28.54458174,25.77168282,64.34477592,36.5790716
Won,65,8,1,33.308854,31.51484444,42.26858829,35.54187641,25.22037589
Not Won,51,2,1,36.76538011,36.43459978,24.61326225,88.43146204,51.56959921
Not Won,48,3,1,21.87844129,55.31077684,56.47622024,69.43398785,47.87251554
Not Won,66,0,0,42.28024041,44.34118526,46.06332484,4.189996078,24.37368293
Not Won,28,1,0,45.40278901,73.74919109,53.5867325,92.65497334,85.48832314
Won,54,9,1,39.2069755,42.98150924,43.04144114,53.23433805,44.48221085
Not Won,43,7,0,44.61785164,84.81995712,40.16135748,42.98210089,63.79865952
Won,70,9,1,35.81338993,26.57656162,35.03305207,24.8015534,19.89940861
Won,90,2,1,7.624927364,8.414760519,10.07439759,14.55611917,3.921594299
Won,49,9,1,44.10517104,40.41680632,54.42700853,54.18372054,53.93542007
Not Won,21,4,0,52.45272077,86.93594415,65.8828969,90.11633235,88.60984679
Not Won,59,1,0,49.1722107,37.7324802,49.89399361,0,60.60796243
Not Won,74,0,0,4.80072928,32.36014503,22.51798393,49.08649729,12.15323954
Not Won,37,2,0,54.80117694,56.12344934,56.03979159,66.41555801,71.0337396
Not Won,73,0,1,21.67930777,14.28144789,7.912181109,67.58044296,18.39342947
Not Won,58,2,0,19.12165294,40.14375697,57.55915943,52.14463533,34.4394746
Not Won,18,6,0,86.53071677,80.60646297,62.92487549,73.3099886,96.00694211
Won,65,10,1,36.18156667,42.68950046,45.98846664,18.37718402,25.61029637
Not Won,61,1,0,17.82826164,36.22375323,66.43326107,41.84326169,24.48728839
Not Won,43,5,0,78.39224182,77.31986129,37.09021507,14.66371403,69.61277652
Won,50,10,1,47.04988324,50.2419856,55.96498323,38.68118244,49.36030018
Not Won,26,1,0,76.81026527,74.85896022,73.91910693,50.13380631,84.48476975
Won,44,0,1,62.88654543,63.87735109,39.72374738,37.8292326,65.99115014
Not Won,40,8,0,65.78510701,64.10207664,45.28334055,40.15025649,72.57857008
Not Won,45,1,1,45.40442875,42.63439711,31.79221464,84.06590257,61.22798945
Not Won,34,1,0,52.66559663,54.29275278,42.81415697,90.36699677,77.06691398
Not Won,65,0,0,26.8767288,16.83093467,15.67000566,76.66676393,29.12792602
Not Won,71,2,0,38.99668801,34.75767879,35.78993965,8.756603613,18.72728967
Not Won,41,4,0,67.16675521,79.96461026,63.31024223,9.294231346,67.60442811
Won,71,10,0,33.60170034,33.32427542,29.5225291,17.80136918,22.5772769
Not Won,15,4,0,56.88361021,90.63937592,92.08675668,80.63070249,92.45706184
Won,57,9,0,32.04121541,35.43574984,49.6164727,53.55452742,33.91070382
Won,56,9,1,37.71157022,43.52985954,33.77681182,53.40925117,40.96498824
Won,50,7,0,36.81254511,46.79272562,48.55404848,60.64360163,46.20305643
Won,46,0,1,53.49967371,52.58778985,41.76024667,46.04996032,65.61654856
Won,66,7,1,41.82570976,29.49115738,35.54002849,26.37227836,27.49748706
Not Won,54,3,1,90.9351457,6.450083633,9.542307473,84.7841088,28.80590197
Won,44,0,1,53.63608909,50.27463286,55.75638784,50.51646971,60.56899691
Won,58,8,0,57.25727893,42.93989814,15.8705094,36.84577412,47.00348866
Not Won,42,4,0,27.93833328,83.73753709,41.46016848,53.4035313,76.11389256
Won,69,9,1,32.5150748,38.16005216,40.18804429,17.08458234,19.68642339
Won,55,8,1,48.13454042,44.1452224,42.58476193,28.81481721,50.74236099
Won,45,0,1,60.91633118,55.33856947,56.92622795,32.09002351,59.65502237
Won,52,7,0,40.81522705,39.46546434,40.16599027,63.6099775,48.66390047
Not Won,62,2,0,20.95257054,27.17278474,46.01927848,54.08958107,31.85310086
Not Won,32,2,0,78.55284045,58.26838342,59.37592541,53.98309424,79.7954923
Won,54,8,1,45.43288396,37.52830514,48.9649521,46.83197045,41.46966591
Won,64,10,1,46.89760369,21.97763383,39.31467167,27.48882888,34.76800967
Not Won,84,1,1,8.446226936,25.53079431,34.46779639,1.294658679,5.13365204
Not Won,38,5,0,53.48268261,51.30194173,47.58189555,69.43029426,78.99200751
Not Won,56,1,0,55.85101822,6.21038867,96.75546115,23.89743718,30.65294494
Not Won,48,1,1,41.34301528,44.7687994,30.85769496,74.19542277,60.24712478
Won,47,9,0,43.92171398,48.59839085,62.92836565,48.52935376,53.16157299
Won,56,7,0,31.12359889,35.93108746,44.76350199,62.33584901,36.64805351
Not Won,49,1,0,1.270687695,13.79391895,89.07797241,81.92624715,58.94460288
Not Won,76,0,0,22.6266016,21.00562194,16.41569672,36.73623194,18.24811323
Won,45,0,1,48.135929,56.02234874,42.67309835,59.20796759,61.60354389
Not Won,81,3,1,14.56900236,17.02752521,24.60854247,25.82063094,5.243173269
Not Won,72,2,0,22.37007371,25.14007649,15.35962467,52.07499027,18.28291894
Not Won,73,1,1,34.46577691,32.02548911,33.67892371,10.94226661,16.65447883
Won,60,8,0,36.88957705,33.62412029,35.03207705,52.3830184,34.54241489
Won,69,7,1,36.4497758,14.59963915,50.45615,25.65861172,20.32037004
Won,46,0,1,45.45553588,61.81297656,43.45584285,46.59263211,62.75199183
Not Won,39,0,1,46.84253333,51.2786892,54.987123,75.61830514,66.86150421
Won,53,8,1,40.88286049,45.63763016,43.69699839,46.17500886,50.34754931
Not Won,66,4,0,17.11693998,19.64585202,34.00680158,63.60964159,27.45733841
Not Won,28,1,0,74.76843055,72.56538218,75.27833154,45.51392313,82.38312203
Not Won,11,3,0,77.38574259,89.47702269,93.41136817,76.5815418,96.2456282
Won,51,8,0,47.38420954,30.54565736,63.61768686,48.00913472,45.62758574
Won,57,8,1,39.50202879,29.85086764,29.17418519,68.34412061,41.84059708
Not Won,53,2,1,24.97861928,23.04771811,48.41472511,83.54481767,45.35734011
Not Won,89,2,0,3.731958765,7.760034991,2.158621623,30.66527077,4.474776703
Not Won,36,4,1,36.16365073,52.7617644,52.02955073,91.71140087,74.84172905
Not Won,90,1,1,0.860060521,5.633425162,6.818549557,27.09232627,2.036419336
Not Won,47,1,0,45.03997822,39.8710414,39.57262533,75.98656429,55.64081109
Won,50,7,0,40.44885178,46.1276602,38.38541474,63.23312173,51.7683999
Not Won,89,0,0,0.313578054,1.755967856,2.413737647,40.85614447,3.464668379
Won,72,9,0,27.60926302,30.19775229,26.61869407,32.14106535,17.3411596
Not Won,68,2,1,5.73296584,12.21286907,23.27163368,90.12576466,21.49502418
Won,48,10,1,42.85418517,55.32539419,41.26114393,57.08941015,52.29054796
Won,52,10,1,37.3443818,42.75540367,59.4602612,50.11562986,41.52803662
Not Won,23,1,0,60.15436245,82.09813447,45.94779128,97.61977513,87.62665741
Won,46,9,0,50.87409766,46.21791712,47.1620114,58.25986391,57.44340294
Not Won,44,0,1,47.96748651,42.82085182,69.90989776,53.54115967,54.79846523
Not Won,41,4,0,45.50206664,54.19079713,76.56222244,53.8599592,54.33369901
Not Won,37,5,0,73.0903226,57.31981606,58.37478617,41.03825852,74.5841702
Not Won,46,1,1,43.47838362,44.6465349,44.11363657,71.75631317,57.90440493
Won,36,2,1,68.30129306,70.19348524,73.92348237,26.74339428,69.85367
Not Won,63,3,0,24.24278713,42.66746048,54.64623323,31.04056924,25.64166775
Won,59,7,1,32.52817145,54.29439955,20.61305483,55.93650262,33.86552409
Not Won,15,3,0,91.8989118,70.07727114,76.04816416,79.96090459,96.59489518
Won,49,8,0,42.31759012,41.32827553,40.94310091,66.45071217,54.59681781
Not Won,38,2,0,54.13586235,60.74748467,58.5897164,56.80804409,71.83100953
Not Won,47,1,0,52.1873015,45.41345389,69.65767217,35.06668933,52.07359541
Won,70,8,1,31.88340314,31.9900692,26.9004528,32.67456168,20.80367793
Not Won,35,4,0,63.60565588,65.98088358,72.68787595,39.95544739,71.86997304
Won,66,2,0,1.702205414,68.62438716,32.67326109,39.70455307,21.55101156
Not Won,36,5,0,61.58440121,62.45215145,62.02205037,53.02976996,72.06903071
Won,46,9,0,51.58620838,41.42330804,59.02168207,54.20794409,54.03307379
Not Won,34,7,0,59.7664527,53.59620322,41.06567661,76.663694,86.85715405
Won,53,0,1,53.56602748,54.00926354,44.47082935,21.71484321,54.48104501
Not Won,53,2,0,28.47768814,61.67933882,23.22426972,64.80700125,45.85934396
Not Won,85,2,1,14.85151619,9.24069502,3.775388823,37.21376689,5.729157343
Not Won,71,3,1,28.88748222,22.70580486,9.79777756,53.26234256,21.36434415
Not Won,76,0,1,19.2355295,20.09883024,22.78827474,34.70076165,16.51808491
Not Won,13,5,0,91.52973971,92.4046028,94.29137598,47.76257913,95.38324486
Not Won,76,2,0,19.37961852,25.55529347,37.14305172,22.04245182,9.504606265
Won,48,8,1,44.99180872,45.34766917,45.47635197,58.88970023,57.46225592
Won,60,8,1,38.59800363,30.30450151,39.52432372,47.34611696,36.86291459
Won,50,8,0,37.83964199,47.32516829,46.41882259,55.42932917,55.83619441
Won,42,0,1,69.5142269,52.41040305,43.50687082,52.90675201,59.81987641
Not Won,46,2,0,44.9020174,49.4209464,61.75670105,53.7519688,52.8603321
Not Won,48,2,0,25.53968925,83.98003153,46.94571622,63.89627794,29.48477882
Not Won,90,3,0,10.17212876,12.15178502,12.61331622,6.339703279,2.697657263
Not Won,31,2,0,57.72634883,64.27429851,76.82378417,56.75040385,80.67178701
Not Won,45,3,1,37.61440076,51.36435744,27.35490505,85.02502469,61.74250064
Not Won,40,7,0,46.32082347,58.89194538,65.32480415,53.49998192,63.90705173
Won,47,7,0,44.5794329,51.4899433,44.82124579,50.82233316,61.59385184
Not Won,43,2,0,50.91437748,48.14880115,40.67226428,73.35522774,63.16613026
Won,59,7,1,37.09651752,38.31006646,36.18649224,48.15161849,38.36612607
Won,60,9,1,31.00487547,34.61503096,40.28783164,48.3785707,38.67802017
Won,45,0,1,56.02737438,51.37755706,60.98754418,37.51729813,57.92685494
Won,54,7,1,45.68091584,35.3134665,42.06587618,53.02903288,44.0984083
Won,68,10,1,65.6019125,10.85390754,6.158598374,38.99507671,32.70315275
Won,46,0,1,51.32999965,53.24473743,46.0413665,52.36897995,59.01976731
